iter	Passed	Remaining
920	41993	3602
921	42046	3557
922	42093	3511
923	42138	3465
924	42191	3420
925	42238	3375
926	42288	3330
927	42339	3284
928	42385	3239
929	42442	3194
930	42493	3149
931	42540	3103
932	42588	3058
933	42641	3013
934	42691	2967
935	42740	2922
936	42795	2877
937	42846	2832
938	42905	2787
939	42957	2741
940	43007	2696
941	43052	2650
942	43099	2605
943	43155	2560
944	43199	2514
945	43249	2468
946	43302	2423
947	43359	2378
948	43418	2333
949	43470	2287
950	43527	2242
951	43579	2197
952	43634	2151
953	43677	2106
954	43721	2060
955	43772	2014
956	43838	1969
957	43892	1924
958	43943	1878
959	44001	1833
960	44055	1787
961	44104	1742
962	44151	1696
963	44196	1650
964	44243	1604
965	44303	1559
966	44361	1513
967	44409	1468
968	44454	1422
969	44507	1376
970	44557	1330
971	44600	1284
972	44642	1238
973	44689	1192
974	44743	1147
975	44792	1101
976	44846	1055
977	44900	1010
978	44954	964
979	45005	918
980	45054	872
981	45102	826
982	45148	780
983	45201	734
984	45243	688
985	45286	643
986	45334	597
987	45383	551
988	45441	505
989	45495	459
990	45544	413
991	45594	367
992	45648	321
993	45701	275
994	45745	229
995	45788	183
996	45836	137
997	45890	91
998	45943	45
999	45996	0
